time_millisec,led11,led12,led13,label,time counter
3,65489,139220,212131,1,3
15,65115,139447,212288,1,
24,64741,139674,212445,1,
36,64367,139901,212602,1,
46,63993,140128,212759,1,
57,63619,140355,212916,1,
65,63245,140582,213073,1,
77,62871,140809,213230,1,
86,62497,141036,213387,1,
97,62123,141263,213544,1,
104,61749,141490,213701,1,
116,61375,141717,213858,1,
125,61001,141944,214015,1,
137,60627,142171,214172,1,
145,60253,142398,214329,1,
157,59879,142625,214486,1,
166,59505,142852,214643,1,
177,59131,143079,214800,1,
185,58757,143306,214957,1,
197,58383,143533,215114,1,
205,58009,143760,215271,1,
217,57635,143987,215428,1,
224,57261,144214,215585,1,
237,56887,144441,215742,1,
246,56513,144668,215899,1,
257,56139,144895,216056,1,
264,55765,145122,216213,1,
276,55391,145349,216370,1,
285,55017,145576,216527,1,
298,54643,145803,216684,1,
307,54269,146030,216841,1,
317,53895,146257,216998,1,
326,53521,146484,217155,1,
338,53147,146711,217312,1,
347,52773,146938,217469,1,
357,52399,147165,217626,1,
366,52025,147392,217783,1,
378,51651,147619,217940,1,
385,51277,147846,218097,1,
397,50903,148073,218254,1,
406,50529,148300,218411,1,
418,50155,148527,218568,1,
427,49781,148754,218725,1,
437,49407,148981,218882,1,
446,49033,149208,219039,1,
458,48659,149435,219196,1,
468,48285,149662,219353,1,
478,47911,149889,219510,1,
486,47537,150116,219667,1,
498,47163,150343,219824,1,
508,46789,150570,219981,1,
518,46415,150797,220138,1,
526,46041,151024,220295,1,
538,45667,151251,220452,1,
547,45293,151478,220609,1,
558,44919,151705,220766,1,
568,44545,151932,220923,1,
578,44171,152159,221080,1,
587,43797,152386,221237,1,
599,43423,152613,221394,1,
608,43049,152840,221551,1,
619,42675,153067,221708,1,
628,42301,153294,221865,1,
639,41927,153521,222022,1,
644,41553,153748,222179,1,
657,41179,153975,222336,1,
667,40805,154202,222493,1,
679,40431,154429,222650,1,
688,40057,154656,222807,1,
697,39683,154883,222964,1,
707,39309,155110,223121,1,
718,38935,155337,223278,1,
727,38561,155564,223435,1,
738,38187,155791,223592,1,
746,37813,156018,223749,1,
760,37439,156245,223906,1,
768,37065,156472,224063,1,
778,36691,156699,224220,1,
788,36317,156926,224377,1,
799,35943,157153,224534,1,
809,35569,157380,224691,1,
819,35195,157607,224848,1,
827,34821,157834,225005,1,
839,34447,158061,225162,1,
848,34073,158288,225319,1,
867,33699,158515,225476,1,
868,33325,158742,225633,1,
880,32951,158969,225790,1,
889,32577,159196,225947,1,
899,32203,159423,226104,1,
908,31829,159650,226261,1,
921,31455,159877,226418,1,
929,31081,160104,226575,1,
939,30707,160331,226732,1,
948,30333,160558,226889,1,
960,29959,160785,227046,1,
969,29585,161012,227203,1,
979,29211,161239,227360,1,
987,28837,161466,227517,1,
1000,28173,161988,227910,1,
1009,28513,161524,227949,1,
1019,28853,161060,227988,1,
1028,29193,160596,228027,1,
1040,29533,160132,228066,1,
1048,29873,159668,228105,1,
1059,30213,159204,228144,1,
1068,30553,158740,228183,1,
1080,30893,158276,228222,1,
1089,31233,157812,228261,1,
1099,31573,157348,228300,1,
1109,31913,156884,228339,1,
1120,32253,156420,228378,1,
1129,32593,155956,228417,1,
1148,32933,155492,228456,1,
1150,33273,155028,228495,1,
1169,33613,154564,228534,1,
1170,33953,154100,228573,1,
1189,34293,153636,228612,1,
1191,34633,153172,228651,1,
1209,34973,152708,228690,1,
1210,35313,152244,228729,1,
1229,35653,151780,228768,1,
1231,35993,151316,228807,1,
1249,36333,150852,228846,1,
1251,36673,150388,228885,1,
1269,37013,149924,228924,1,
1271,37353,149460,228963,1,
1289,37693,148996,229002,1,
1292,38033,148532,229041,1,
1303,38373,148068,229080,1,
1310,38713,147604,229119,1,
1321,39053,147140,229158,1,
1329,39393,146676,229197,1,
1341,39733,146212,229236,1,
1351,40073,145748,229275,1,
1357,40413,145284,229314,1,
1370,40753,144820,229353,1,
1381,41093,144356,229392,1,
1390,41433,143892,229431,1,
1408,41773,143428,229470,1,
1409,42113,142964,229509,1,
1428,42453,142500,229548,1,
1430,42793,142036,229587,1,
1448,43133,141572,229626,1,
1451,43473,141108,229665,1,
1468,43813,140644,229704,1,
1470,44153,140180,229743,1,
1487,44493,139716,229782,1,
1491,44833,139252,229821,1,
1508,45173,138788,229860,1,
1510,45513,138324,229899,1,
1529,45853,137860,229938,1,
1530,46193,137396,229977,1,
1549,46533,136932,230016,1,
1551,46873,136468,230055,1,
1570,47213,136004,230094,1,
1572,47553,135540,230133,1,
1591,47893,135076,230172,1,
1598,48233,134612,230211,1,
1612,48573,134148,230250,1,
1618,48913,133684,230289,1,
1631,49253,133220,230328,1,
1639,49593,132756,230367,1,
1653,49933,132292,230406,1,
1658,50273,131828,230445,1,
1671,50613,131364,230484,1,
1679,50953,130900,230523,1,
1694,51293,130436,230562,1,
1701,51633,129972,230601,1,
1712,51973,129508,230640,1,
1720,52313,129044,230679,1,
1733,52653,128580,230718,1,
1740,52993,128116,230757,1,
1753,53333,127652,230796,1,
1759,53673,127188,230835,1,
1772,54013,126724,230874,1,
1780,54353,126260,230913,1,
1792,54693,125796,230952,1,
1797,55033,125332,230991,1,
1813,55373,124868,231030,1,
1819,55713,124404,231069,1,
1833,56053,123940,231108,1,
1839,56393,123476,231147,1,
1854,56733,123012,231186,1,
1860,57073,122548,231225,1,
1873,57413,122084,231264,1,
1881,57753,121620,231303,1,
1892,58093,121156,231342,1,
1900,58433,120692,231381,1,
1914,58773,120228,231420,1,
1921,59113,119764,231459,1,
1933,59453,119300,231498,1,
1942,59793,118836,231537,1,
1962,60133,118372,231576,1,
1971,60473,117908,231615,1,
1981,60813,117444,231654,1,
1992,61153,116980,231693,1,
2003,61493,116516,231732,1,
2012,62174,115614,231906,1,
2019,61994,116102,232024,1,
2030,61814,116590,232142,1,
2041,61634,117078,232260,1,
2050,61454,117566,232378,1,
2059,61274,118054,232496,1,
2073,61094,118542,232614,1,
2081,60914,119030,232732,1,
2090,60734,119518,232850,1,
2101,60554,120006,232968,1,
2113,60374,120494,233086,1,
2122,60194,120982,233204,1,
2132,60014,121470,233322,1,
2141,59834,121958,233440,1,
2150,59654,122446,233558,1,
2162,59474,122934,233676,1,
2170,59294,123422,233794,1,
2184,59114,123910,233912,1,
2190,58934,124398,234030,1,
2202,58754,124886,234148,1,
2209,58574,125374,234266,1,
2223,58394,125862,234384,1,
2232,58214,126350,234502,1,
2242,58034,126838,234620,1,
2251,57854,127326,234738,1,
2261,57674,127814,234856,1,
2272,57494,128302,234974,1,
2281,57314,128790,235092,1,
2293,57134,129278,235210,1,
2302,56954,129766,235328,1,
2314,56774,130254,235446,1,
2323,56594,130742,235564,1,
2332,56414,131230,235682,1,
2342,56234,131718,235800,1,
2353,56054,132206,235918,1,
2362,55874,132694,236036,1,
